#序号,任务名称,npcId,对话npc,任务提示,背景描述,奖励描述,任务类型名称,任务类型（主线任务1）,能否放弃,接受和完成任务接听（1：接受新任务  2：完成任务）,任务跟踪完成信息XML,任务跟踪完成信息普通文本,寻路链接参数（根据不同协议，提供不同超链接给显示内容）
TaskId_kn,TaskName_s,NpcIds_s,NpcNames_s,TaskTips_s,TaskBackground_s,TaskPrize_s,TaskTypeName_s,TaskType_n,Cancel_n,Listen_t1,TraceXMLContent_s,TraceContent_s,FindLink_t
2001,长安城1-1,10001,桤木西,长安城1-1,长安城1-1,,主线,1,,,长安城1-1#lime（已完成),与%s对话,
2003,长安城1-4,10001,桤木西,长安城1-4,长安城1-4,,主线,1,,,长安城1-4#lime（已完成),与%s对话,
2005,长安城1-7,10001,桤木西,长安城1-7,长安城1-7,,主线,1,,,长安城1-7#lime（已完成),与%s对话,
2007,长安城1-10,10001,桤木西,长安城1-10,长安城1-10,,主线,1,,,长安城1-10#lime（已完成),与%s对话,
2009,长安城2-1,10001,桤木西,长安城2-1,长安城2-1,,主线,1,,,长安城2-1#lime（已完成),与%s对话,
2011,长安城2-4,10001,桤木西,长安城2-4,长安城2-4,,主线,1,,,长安城2-4#lime（已完成),与%s对话,
2013,长安城2-7,10001,桤木西,长安城2-7,长安城2-7,,主线,1,,,长安城2-7#lime（已完成),与%s对话,
2015,长安城2-10,10001,桤木西,长安城2-10,长安城2-10,,主线,1,,,长安城2-10#lime（已完成),与%s对话,
2017,长安城3-1,10001,桤木西,长安城3-1,长安城3-1,,主线,1,,,长安城3-1#lime（已完成),与%s对话,
2019,长安城3-4,10001,桤木西,长安城3-4,长安城3-4,,主线,1,,,长安城3-4#lime（已完成),与%s对话,
2021,长安城3-7,10001,桤木西,长安城3-7,长安城3-7,,主线,1,,,长安城3-7#lime（已完成),与%s对话,
2023,长安城3-10,10001,桤木西,长安城3-10,长安城3-10,,主线,1,,,长安城3-10#lime（已完成),与%s对话,
2025,前往长寿村,10001,桤木西,前往长寿村,前往长寿村,,主线,1,,,前往长寿村#lime（已完成),与%s对话,
2027,长寿村1-1,10001,桤木西,长寿村1-1,长寿村1-1,,主线,1,,,长寿村1-1#lime（已完成),与%s对话,
2029,长寿村1-4,10001,桤木西,长寿村1-4,长寿村1-4,,主线,1,,,长寿村1-4#lime（已完成),与%s对话,
2031,长寿村1-7,10001,桤木西,长寿村1-7,长寿村1-7,,主线,1,,,长寿村1-7#lime（已完成),与%s对话,
2033,长寿村1-10,10001,桤木西,长寿村1-10,长寿村1-10,,主线,1,,,长寿村1-10#lime（已完成),与%s对话,
2035,长寿村2-1,10001,桤木西,长寿村2-1,长寿村2-1,,主线,1,,,长寿村2-1#lime（已完成),与%s对话,
2037,长寿村2-4,10001,桤木西,长寿村2-4,长寿村2-4,,主线,1,,,长寿村2-4#lime（已完成),与%s对话,
2039,长寿村2-7,10001,桤木西,长寿村2-7,长寿村2-7,,主线,1,,,长寿村2-7#lime（已完成),与%s对话,
2041,长寿村2-10,10001,桤木西,长寿村2-10,长寿村2-10,,主线,1,,,长寿村2-10#lime（已完成),与%s对话,
2043,长寿村3-1,10001,桤木西,长寿村3-1,长寿村3-1,,主线,1,,,长寿村3-1#lime（已完成),与%s对话,
2045,长寿村3-4,10001,桤木西,长寿村3-4,长寿村3-4,,主线,1,,,长寿村3-4#lime（已完成),与%s对话,
2047,长寿村3-7,10001,桤木西,长寿村3-7,长寿村3-7,,主线,1,,,长寿村3-7#lime（已完成),与%s对话,
2049,长寿村3-10,10001,桤木西,长寿村3-10,长寿村3-10,,主线,1,,,长寿村3-10#lime（已完成),与%s对话,
2051,前往高老庄,10001,桤木西,前往高老庄,前往高老庄,,主线,1,,,前往高老庄#lime（已完成),与%s对话,
2053,高老庄1-1,10001,桤木西,高老庄1-1,高老庄1-1,,主线,1,,,高老庄1-1#lime（已完成),与%s对话,
2055,高老庄1-4,10001,桤木西,高老庄1-4,高老庄1-4,,主线,1,,,高老庄1-4#lime（已完成),与%s对话,
2057,高老庄1-7,10001,桤木西,高老庄1-7,高老庄1-7,,主线,1,,,高老庄1-7#lime（已完成),与%s对话,
2059,高老庄1-10,10001,桤木西,高老庄1-10,高老庄1-10,,主线,1,,,高老庄1-10#lime（已完成),与%s对话,
2061,高老庄2-1,10001,桤木西,高老庄2-1,高老庄2-1,,主线,1,,,高老庄2-1#lime（已完成),与%s对话,
2063,高老庄2-4,10001,桤木西,高老庄2-4,高老庄2-4,,主线,1,,,高老庄2-4#lime（已完成),与%s对话,
2065,高老庄2-7,10001,桤木西,高老庄2-7,高老庄2-7,,主线,1,,,高老庄2-7#lime（已完成),与%s对话,
2067,高老庄2-10,10001,桤木西,高老庄2-10,高老庄2-10,,主线,1,,,高老庄2-10#lime（已完成),与%s对话,
2069,高老庄3-1,10001,桤木西,高老庄3-1,高老庄3-1,,主线,1,,,高老庄3-1#lime（已完成),与%s对话,
2071,高老庄3-4,10001,桤木西,高老庄3-4,高老庄3-4,,主线,1,,,高老庄3-4#lime（已完成),与%s对话,
2073,高老庄3-7,10001,桤木西,高老庄3-7,高老庄3-7,,主线,1,,,高老庄3-7#lime（已完成),与%s对话,
2075,高老庄3-10,10001,桤木西,高老庄3-10,高老庄3-10,,主线,1,,,高老庄3-10#lime（已完成),与%s对话,
2077,高老庄4-1,10001,桤木西,高老庄4-1,高老庄4-1,,主线,1,,,高老庄4-1#lime（已完成),与%s对话,
2079,高老庄4-4,10001,桤木西,高老庄4-4,高老庄4-4,,主线,1,,,高老庄4-4#lime（已完成),与%s对话,
2081,高老庄4-7,10001,桤木西,高老庄4-7,高老庄4-7,,主线,1,,,高老庄4-7#lime（已完成),与%s对话,
2083,高老庄4-10,10001,桤木西,高老庄4-10,高老庄4-10,,主线,1,,,高老庄4-10#lime（已完成),与%s对话,
2085,高老庄5-1,10001,桤木西,高老庄5-1,高老庄5-1,,主线,1,,,高老庄5-1#lime（已完成),与%s对话,
2087,高老庄5-4,10001,桤木西,高老庄5-4,高老庄5-4,,主线,1,,,高老庄5-4#lime（已完成),与%s对话,
2089,高老庄5-7,10001,桤木西,高老庄5-7,高老庄5-7,,主线,1,,,高老庄5-7#lime（已完成),与%s对话,
2091,高老庄5-10,10001,桤木西,高老庄5-10,高老庄5-10,,主线,1,,,高老庄5-10#lime（已完成),与%s对话,
2093,前往黄风岭,10001,桤木西,前往黄风岭,前往黄风岭,,主线,1,,,前往黄风岭#lime（已完成),与%s对话,
2095,黄风岭1-1,10001,桤木西,黄风岭1-1,黄风岭1-1,,主线,1,,,黄风岭1-1#lime（已完成),与%s对话,
2097,黄风岭1-4,10001,桤木西,黄风岭1-4,黄风岭1-4,,主线,1,,,黄风岭1-4#lime（已完成),与%s对话,
2099,黄风岭1-7,10001,桤木西,黄风岭1-7,黄风岭1-7,,主线,1,,,黄风岭1-7#lime（已完成),与%s对话,
2101,黄风岭1-10,10001,桤木西,黄风岭1-10,黄风岭1-10,,主线,1,,,黄风岭1-10#lime（已完成),与%s对话,
2103,黄风岭2-1,10001,桤木西,黄风岭2-1,黄风岭2-1,,主线,1,,,黄风岭2-1#lime（已完成),与%s对话,
2105,黄风岭2-4,10001,桤木西,黄风岭2-4,黄风岭2-4,,主线,1,,,黄风岭2-4#lime（已完成),与%s对话,
2107,黄风岭2-7,10001,桤木西,黄风岭2-7,黄风岭2-7,,主线,1,,,黄风岭2-7#lime（已完成),与%s对话,
2109,黄风岭2-10,10001,桤木西,黄风岭2-10,黄风岭2-10,,主线,1,,,黄风岭2-10#lime（已完成),与%s对话,
2111,黄风岭3-1,10001,桤木西,黄风岭3-1,黄风岭3-1,,主线,1,,,黄风岭3-1#lime（已完成),与%s对话,
2113,黄风岭3-4,10001,桤木西,黄风岭3-4,黄风岭3-4,,主线,1,,,黄风岭3-4#lime（已完成),与%s对话,
2115,黄风岭3-7,10001,桤木西,黄风岭3-7,黄风岭3-7,,主线,1,,,黄风岭3-7#lime（已完成),与%s对话,
2117,黄风岭3-10,10001,桤木西,黄风岭3-10,黄风岭3-10,,主线,1,,,黄风岭3-10#lime（已完成),与%s对话,
2119,黄风岭4-1,10001,桤木西,黄风岭4-1,黄风岭4-1,,主线,1,,,黄风岭4-1#lime（已完成),与%s对话,
2121,黄风岭4-4,10001,桤木西,黄风岭4-4,黄风岭4-4,,主线,1,,,黄风岭4-4#lime（已完成),与%s对话,
2123,黄风岭4-7,10001,桤木西,黄风岭4-7,黄风岭4-7,,主线,1,,,黄风岭4-7#lime（已完成),与%s对话,
2125,黄风岭4-10,10001,桤木西,黄风岭4-10,黄风岭4-10,,主线,1,,,黄风岭4-10#lime（已完成),与%s对话,
2127,黄风岭5-1,10001,桤木西,黄风岭5-1,黄风岭5-1,,主线,1,,,黄风岭5-1#lime（已完成),与%s对话,
2129,黄风岭5-4,10001,桤木西,黄风岭5-4,黄风岭5-4,,主线,1,,,黄风岭5-4#lime（已完成),与%s对话,
2131,黄风岭5-7,10001,桤木西,黄风岭5-7,黄风岭5-7,,主线,1,,,黄风岭5-7#lime（已完成),与%s对话,
2133,黄风岭5-10,10001,桤木西,黄风岭5-10,黄风岭5-10,,主线,1,,,黄风岭5-10#lime（已完成),与%s对话,
2135,前往流沙河,10001,桤木西,前往流沙河,前往流沙河,,主线,1,,,前往流沙河#lime（已完成),与%s对话,
2137,流沙河1-1,10001,桤木西,流沙河1-1,流沙河1-1,,主线,1,,,流沙河1-1#lime（已完成),与%s对话,
2139,流沙河1-4,10001,桤木西,流沙河1-4,流沙河1-4,,主线,1,,,流沙河1-4#lime（已完成),与%s对话,
2141,流沙河1-7,10001,桤木西,流沙河1-7,流沙河1-7,,主线,1,,,流沙河1-7#lime（已完成),与%s对话,
2143,流沙河1-10,10001,桤木西,流沙河1-10,流沙河1-10,,主线,1,,,流沙河1-10#lime（已完成),与%s对话,
2145,流沙河2-1,10001,桤木西,流沙河2-1,流沙河2-1,,主线,1,,,流沙河2-1#lime（已完成),与%s对话,
2147,流沙河2-4,10001,桤木西,流沙河2-4,流沙河2-4,,主线,1,,,流沙河2-4#lime（已完成),与%s对话,
2149,流沙河2-7,10001,桤木西,流沙河2-7,流沙河2-7,,主线,1,,,流沙河2-7#lime（已完成),与%s对话,
2151,流沙河2-10,10001,桤木西,流沙河2-10,流沙河2-10,,主线,1,,,流沙河2-10#lime（已完成),与%s对话,
2153,流沙河3-1,10001,桤木西,流沙河3-1,流沙河3-1,,主线,1,,,流沙河3-1#lime（已完成),与%s对话,
2155,流沙河3-4,10001,桤木西,流沙河3-4,流沙河3-4,,主线,1,,,流沙河3-4#lime（已完成),与%s对话,
2157,流沙河3-7,10001,桤木西,流沙河3-7,流沙河3-7,,主线,1,,,流沙河3-7#lime（已完成),与%s对话,
2159,流沙河3-10,10001,桤木西,流沙河3-10,流沙河3-10,,主线,1,,,流沙河3-10#lime（已完成),与%s对话,
2161,流沙河4-1,10001,桤木西,流沙河4-1,流沙河4-1,,主线,1,,,流沙河4-1#lime（已完成),与%s对话,
2163,流沙河4-4,10001,桤木西,流沙河4-4,流沙河4-4,,主线,1,,,流沙河4-4#lime（已完成),与%s对话,
2165,流沙河4-7,10001,桤木西,流沙河4-7,流沙河4-7,,主线,1,,,流沙河4-7#lime（已完成),与%s对话,
2167,流沙河4-10,10001,桤木西,流沙河4-10,流沙河4-10,,主线,1,,,流沙河4-10#lime（已完成),与%s对话,
2169,流沙河5-1,10001,桤木西,流沙河5-1,流沙河5-1,,主线,1,,,流沙河5-1#lime（已完成),与%s对话,
2171,流沙河5-4,10001,桤木西,流沙河5-4,流沙河5-4,,主线,1,,,流沙河5-4#lime（已完成),与%s对话,
2173,流沙河5-7,10001,桤木西,流沙河5-7,流沙河5-7,,主线,1,,,流沙河5-7#lime（已完成),与%s对话,
2175,流沙河5-10,10001,桤木西,流沙河5-10,流沙河5-10,,主线,1,,,流沙河5-10#lime（已完成),与%s对话,
