任务序号,对话序号,任务名字,类型（0普通1隐形节点）,npcId,对话npc,选择显示面板（1是正常对话框，2是剧情对话框）,仅对nodeId=0使用。nodeId=0是功能按钮，判断是否隐藏功能按钮。nodeId=0时候，如果有跳转判断就会自动切入对话,内容 ,选项1,跳转1,操作1（1记录对话节点2提交任务3触发战斗4记录npc）,选项2,跳转2,操作2,选项3,跳转3,操作3,选项4,跳转4,操作4
TalkId_n,NodeId_n,Name_s,type,NpcIds_s,NpcNames_c,frametype_n,Show_t,Content_s,Option1_s,NextNode1_t,Operation1_t,Option2_s,NextNode2_t,Operation2_t,Option3_s,NextNode3_t,Operation3_t,Option4_s,NextNode4_t,Operation4_t
2001,1,长安城1-1,1,10001,桤木西,1,,#norb恭喜你通关长安城1_1,,0,"""提交任务""",,,,,,,,,
2003,1,长安城1-4,1,10001,桤木西,1,,#norb恭喜你通关长安城1_4,,0,"""提交任务""",,,,,,,,,
2005,1,长安城1-7,1,10001,桤木西,1,,#norb恭喜你通关长安城1_7,,0,"""提交任务""",,,,,,,,,
2007,1,长安城1-10,1,10001,桤木西,1,,#norb恭喜你通关长安城1_10,,0,"""提交任务""",,,,,,,,,
2009,1,长安城2-1,1,10001,桤木西,1,,#norb恭喜你通关长安城2_1,,0,"""提交任务""",,,,,,,,,
2011,1,长安城2-4,1,10001,桤木西,1,,#norb恭喜你通关长安城2_4,,0,"""提交任务""",,,,,,,,,
2013,1,长安城2-7,1,10001,桤木西,1,,#norb恭喜你通关长安城2_7,,0,"""提交任务""",,,,,,,,,
2015,1,长安城2-10,1,10001,桤木西,1,,#norb恭喜你通关长安城2_10,,0,"""提交任务""",,,,,,,,,
2017,1,长安城3-1,1,10001,桤木西,1,,#norb恭喜你通关长安城3_1,,0,"""提交任务""",,,,,,,,,
2019,1,长安城3-4,1,10001,桤木西,1,,#norb恭喜你通关长安城3_4,,0,"""提交任务""",,,,,,,,,
