#顺序,动作,动作参数,重复执行action,说明, 
ActionIndex_n,Action_s,Param_t,Repeat_n,des_c,
1,LoadMap,"[""y""]=0, [""x""]=0, [""map""]=50028, ",1,,
2,ShowImage,"[""clear""]=true, [""image""]=""movie01"", [""time""]=3000, [""ImgMoveType""]=""normal"", ",1,,
4,ShowImage,"[""clear""]=true, [""image""]=""movie02"", [""time""]=3000, [""ImgMoveType""]=""normal"", ",1,,
6,ShowImage,"[""clear""]=true, [""image""]=""movie03"", [""time""]=3000, [""ImgMoveType""]=""normal"", ",1,,
8,CreatePlayer,"[""y""]=400, [""x""]=1, [""name""]="""", [""var""]=1, [""id""]=3037, [""dir""]=0, [""visible""]=true, ",1,,
8,CreatePlayer,"[""y""]=540, [""x""]=1, [""name""]=""星球勇士"", [""var""]=2, [""id""]=3014, [""dir""]=0, [""visible""]=true, ",1,,
8,CreatePlayer,"[""y""]=700, [""x""]=1, [""name""]="""", [""var""]=3, [""id""]=3011, [""dir""]=0, [""visible""]=true, ",1,,
8,CreatePlayer,"[""y""]=320, [""x""]=1, [""name""]="""", [""var""]=4, [""id""]=3016, [""dir""]=0, [""visible""]=true, ",1,,
8,CreatePlayer,"[""y""]=620, [""x""]=1, [""name""]="""", [""var""]=5, [""id""]=3010, [""dir""]=0, [""visible""]=true, ",1,,
8,CreatePlayer,"[""y""]=400, [""x""]=639, [""name""]="""", [""var""]=6, [""id""]=3020, [""dir""]=4, [""visible""]=true, ",1,,
8,CreatePlayer,"[""y""]=540, [""x""]=639, [""name""]=""二次元女神"", [""var""]=7, [""id""]=3007, [""dir""]=4, [""visible""]=true, ",1,,
8,CreatePlayer,"[""y""]=700, [""x""]=639, [""name""]="""", [""var""]=8, [""id""]=3001, [""dir""]=4, [""visible""]=true, ",1,,
8,CreatePlayer,"[""y""]=320, [""x""]=639, [""name""]="""", [""var""]=9, [""id""]=3025, [""dir""]=4, [""visible""]=true, ",1,,
8,CreatePlayer,"[""y""]=470, [""x""]=639, [""name""]="""", [""var""]=10, [""id""]=3002, [""dir""]=4, [""visible""]=true, ",1,,
8,CreatePlayer,"[""y""]=620, [""x""]=639, [""name""]="""", [""var""]=11, [""id""]=3024, [""dir""]=4, [""visible""]=true, ",1,,
8,CreatePlayer,"[""y""]=400, [""x""]=639, [""name""]="""", [""var""]=12, [""id""]=3003, [""dir""]=4, [""visible""]=true, ",1,,
8,CreatePlayer,"[""y""]=540, [""x""]=639, [""name""]="""", [""var""]=13, [""id""]=3018, [""dir""]=4, [""visible""]=true, ",1,,
8,CreatePlayer,"[""y""]=700, [""x""]=639, [""name""]="""", [""var""]=14, [""id""]=3022, [""dir""]=4, [""visible""]=true, ",1,,
16,MovePlayer,"[""y""]=400, [""x""]=240, [""var""]=1, [""speed""]=1, [""coor""]=""view"", [""dir""]=0, ",1,,
16,MovePlayer,"[""y""]=540, [""x""]=240, [""var""]=2, [""speed""]=1, [""coor""]=""view"", [""dir""]=0, ",1,,
16,MovePlayer,"[""y""]=700, [""x""]=240, [""var""]=3, [""speed""]=1, [""coor""]=""view"", [""dir""]=0, ",1,,
16,MovePlayer,"[""y""]=320, [""x""]=160, [""var""]=4, [""speed""]=1, [""coor""]=""view"", [""dir""]=0, ",1,,
16,MovePlayer,"[""y""]=620, [""x""]=160, [""var""]=5, [""speed""]=1, [""coor""]=""view"", [""dir""]=0, ",1,,
16,MovePlayer,"[""y""]=400, [""x""]=400, [""var""]=6, [""speed""]=1, [""coor""]=""view"", [""dir""]=4, ",1,,
16,MovePlayer,"[""y""]=540, [""x""]=400, [""var""]=7, [""speed""]=1, [""coor""]=""view"", [""dir""]=4, ",1,,
16,MovePlayer,"[""y""]=700, [""x""]=400, [""var""]=8, [""speed""]=1, [""coor""]=""view"", [""dir""]=4, ",1,,
16,MovePlayer,"[""y""]=320, [""x""]=480, [""var""]=9, [""speed""]=1, [""coor""]=""view"", [""dir""]=4, ",1,,
16,MovePlayer,"[""y""]=470, [""x""]=480, [""var""]=10, [""speed""]=1, [""coor""]=""view"", [""dir""]=4, ",1,,
16,MovePlayer,"[""y""]=620, [""x""]=480, [""var""]=11, [""speed""]=1, [""coor""]=""view"", [""dir""]=4, ",1,,
16,MovePlayer,"[""y""]=400, [""x""]=590, [""var""]=12, [""speed""]=1, [""coor""]=""view"", [""dir""]=4, ",1,,
16,MovePlayer,"[""y""]=540, [""x""]=590, [""var""]=13, [""speed""]=1, [""coor""]=""view"", [""dir""]=4, ",1,,
16,MovePlayer,"[""y""]=700, [""x""]=590, [""var""]=14, [""speed""]=1, [""coor""]=""view"", [""dir""]=4, ",1,,
16,Speak,"[""text""]=""你们这些二次元女神，竟敢入侵星球。"", [""showTime""]=4000, [""var""]=2, ",1,,
20,Speak,"[""text""]=""物竞天择，适者生存；这么简单的道理你们不懂吗？给我消灭她们。"", [""showTime""]=4000, [""var""]=7, ",1,,
24,DeletePlayer,"[""var""]=1, ",1,,
24,DeletePlayer,"[""var""]=2, ",1,,
24,DeletePlayer,"[""var""]=3, ",1,,
24,DeletePlayer,"[""var""]=4, ",1,,
24,DeletePlayer,"[""var""]=5, ",1,,
24,DeletePlayer,"[""var""]=8, ",1,,
24,DeletePlayer,"[""var""]=9, ",1,,
24,DeletePlayer,"[""var""]=10, ",1,,
24,DeletePlayer,"[""var""]=11, ",1,,
24,DeletePlayer,"[""var""]=12, ",1,,
24,Fight,"[""map""]=50028, [""fightId""]=3, [""ignoreRun""]=true, ",1,,
26,FullBlack,"[""blackType""]=true, [""blackTime""]=500, [""var""]=1000, ",1,,
30,ChangeAction,"[""loop""]=false, [""action""]=""attack"", [""var""]=7, ",1,,
