任务序号,对话序号,任务名字,类型（0普通1隐形节点）,npcId,对话npc,选择显示面板（1是正常对话框，2是剧情对话框）,仅对nodeId=0使用。nodeId=0是功能按钮，判断是否隐藏功能按钮。nodeId=0时候，如果有跳转判断就会自动切入对话,内容 ,选项1,跳转1,操作1（1记录对话节点2提交任务3触发战斗4记录npc）,选项2,跳转2,操作2,选项3,跳转3,操作3,选项4,跳转4,操作4
TalkId_n,NodeId_n,Name_s,type,NpcIds_s,NpcNames_c,frametype_n,Show_t,Content_s,Option1_s,NextNode1_t,Operation1_t,Option2_s,NextNode2_t,Operation2_t,Option3_s,NextNode3_t,Operation3_t,Option4_s,NextNode4_t,Operation4_t
1001,1,穿戴一件装备,1,10001,桤木西,1,,#norb恭喜你完成装备穿戴,,0,"""提交任务""",,,,,,,,,
1003,1,技能升级1次,1,10001,桤木西,1,,#norb恭喜你完成技能升级,,0,"""提交任务""",,,,,,,,,
1005,1,东海湾1-1,1,10001,桤木西,1,,#norb恭喜你通关东海湾1_1,,0,"""提交任务""",,,,,,,,,
1007,1,宠物升级1次,1,10001,桤木西,1,,#norb恭喜你完成宠物升级,,0,"""提交任务""",,,,,,,,,
1009,1,技能达到3级,1,10001,桤木西,1,,#norb恭喜你完成技能达到3级,,0,"""提交任务""",,,,,,,,,
1011,1,东海湾1-2,1,10001,桤木西,1,,#norb恭喜你通关东海湾1_2,,0,"""提交任务""",,,,,,,,,
1013,1,宠物达到3级,1,10001,桤木西,1,,#norb恭喜你完成宠物达到3级,,0,"""提交任务""",,,,,,,,,
1015,1,穿戴5件装备,1,10001,桤木西,1,,#norb恭喜你完成穿戴5件装备,,0,"""提交任务""",,,,,,,,,
1017,1,东海湾1-3,1,10001,桤木西,1,,#norb恭喜你通关东海湾1_3,,0,"""提交任务""",,,,,,,,,
1019,1,强化达到1级,1,10001,桤木西,1,,#norb恭喜你完成强化达到1级,,0,"""提交任务""",,,,,,,,,
1021,1,等级升到8级,1,10001,桤木西,1,,#norb恭喜你完成等级升到8级,,0,"""提交任务""",,,,,,,,,
1023,1,东海湾1-4,1,10001,桤木西,1,,#norb恭喜你通关东海湾1_4,,0,"""提交任务""",,,,,,,,,
1025,1,世界频道发言,1,10001,桤木西,1,,#norb恭喜你完成世界频道发言一次,,0,"""提交任务""",,,,,,,,,
1027,1,坐骑进阶3次,1,10001,桤木西,1,,#norb恭喜你完成坐骑进阶3次,,0,"""提交任务""",,,,,,,,,
1029,1,东海湾1-5,1,10001,桤木西,1,,#norb恭喜你通关东海湾1_5,,0,"""提交任务""",,,,,,,,,
1031,1,宠物达到4级,1,10001,桤木西,1,,#norb恭喜你完成宠物达到4级,,0,"""提交任务""",,,,,,,,,
1033,1,穿戴8件装备,1,10001,桤木西,1,,#norb恭喜你完成穿戴8件装备,,0,"""提交任务""",,,,,,,,,
1035,1,东海湾1-6,1,10001,桤木西,1,,#norb恭喜你通关东海湾1_6,,0,"""提交任务""",,,,,,,,,
1037,1,技能达到19级,1,10001,桤木西,1,,#norb恭喜你完成技能达到19级,,0,"""提交任务""",,,,,,,,,
1039,1,等级升到18级,1,10001,桤木西,1,,#norb恭喜你完成等级升到18级,,0,"""提交任务""",,,,,,,,,
1041,1,东海湾1-7,1,10001,桤木西,1,,#norb恭喜你通关东海湾1_7,,0,"""提交任务""",,,,,,,,,
1043,1,强化达到2级,1,10001,桤木西,1,,#norb恭喜你完成强化达到2级,,0,"""提交任务""",,,,,,,,,
1045,1,坐骑升到2阶,1,10001,桤木西,1,,#norb恭喜你完成坐骑升到2阶,,0,"""提交任务""",,,,,,,,,
